n,suggestions
1,Tout semble fonctionner (noé)
2,
7,
11,
12,
14,
15,
16,le but de l'enquête est assez compliqué à comprendre
17,
18,
20,
22,
21,
26,
27,
31,
33,
62,supprimer c noé qui teste
67,test noé (supprimer) ca marche
69,"Je me suis particulièrement bien projetée puisque j'ai un jardin, que je tonds de manière assez irrégulière : 1) par paresse 2) car je préfère voir un jardin ""vivant"" avec des pâquerettes pissenlits etc
Mais la copropriété (majoritairement des personnes âgées) implique de tondre régulièrement afin d'éviter les lettres de rappel du syndic... bien dommage"
68,"La saison n'es pas prise en compte. Généralement, on ne tond pas en hiver et on ne nourris les oiseaux que quand il fait froid en automne/hiver."
72,
76,
77,
75,"Je comprends les questions et la démarche, mais me semble t il, au moins dans mon cas, que la fréquence à laquelle sont effectuées certaines tâches dépendent beaucoup, pour la tonte de gazon, de la taille du jardin, de la pluie, de la hauteur que l'on souhaite sur de longue periode, a quelle point on accepte que il y ai un écart entre la hauteur de l'herbe et celle voulue et de certain événements ponctuels. Cela dépend également de l'outillage utilisé. Ainsi, la fréquence de tonte peu être influencé ainsi que l'envie d'accepter de la faire toute les semaines.  Je pense que présenter l'étude en donnant la taille du jardin, la hauteur voule, a quelle point cela nous va que la hauteur de l'herbe ne soit pas la bonne, le climat et l'outillage, cela permettrait de mieux préciser si on aurais l'envie de tondre 1 fois par semaine ."
80,
81,
83,
84,
86,
